,co_ibge,no_municipio,nu_ocorrencias_ambulatorio,mp_municipio,nu_ocorrencias_internacoes,uf
0,292740,Salvador,38,"MULTIPOLYGON (((-38.585586 -13.012673, -38.580453999999996 -12.989137, -38.565245 -12.966144, -38.561128 -12.932736, -38.56781 -12.915213, -38.5888 -12.892617, -38.674897 -12.845424999999999, -38.695584 -12.816417, -38.698564999999995 -12.800552999999999, -38.695214 -12.754107999999999, -38.623944 -12.756017, -38.587744 -12.753974999999999, -38.587934 -12.733882, -38.535033 -12.738733, -38.508458999999995 -12.748275999999999, -38.503842 -12.77933, -38.491271999999995 -12.790823999999999, -38.462271 -12.791483, -38.463994 -12.829352, -38.450354999999995 -12.845832, -38.44106 -12.839633, -38.415997 -12.866966999999999, -38.402487 -12.872577999999999, -38.392755 -12.844019, -38.373975 -12.824294, -38.353446999999996 -12.839146999999999, -38.354863 -12.894665999999999, -38.340959999999995 -12.906906999999999, -38.327298 -12.897813, -38.304333 -12.910872999999999, -38.334754 -12.944932999999999, -38.353538 -12.957059, -38.385027 -12.956007999999999, -38.43224 -12.986433, -38.468747 -13.014882, -38.519217 -13.009991999999999, -38.585586 -13.012673)))",115,BA
1,130260,Manaus,1,"MULTIPOLYGON (((-59.500308 -2.971896, -59.500479999999996 -2.988301, -59.485502999999994 -2.993823, -59.455330999999994 -3.029749, -59.431340999999996 -3.0485, -59.405141 -3.05434, -59.373894 -3.071615, -59.341558 -3.106645, -59.304531999999995 -3.131902, -59.262114999999994 -3.129018, -59.195271 -3.156947, -59.159948 -3.168428, -59.168386 -3.178844, -59.206998999999996 -3.179744, -59.241811 -3.162078, -59.278219 -3.153964, -59.351898999999996 -3.1456, -59.358636999999995 -3.153023, -59.390981 -3.163066, -59.479668999999994 -3.128622, -59.545555 -3.121471, -59.600223 -3.09651, -59.70017 -3.06089, -59.769807 -3.064225, -59.819945999999995 -3.078072, -59.859646999999995 -3.098007, -59.906997999999994 -3.1378, -59.943839 -3.174865, -59.953446 -3.202784, -59.994465999999996 -3.222209, -59.992363 -3.189777, -60.023422999999994 -3.174646, -60.040616 -3.159069, -60.054119 -3.167948, -60.074338999999995 -3.159061, -60.078855999999995 -3.135128, -60.09003 -3.130211, -60.10035 -3.15073, -60.112610999999994 -3.150202, -60.144510999999994 -3.130846, -60.168859999999995 -3.127652, -60.202011999999996 -3.095153, -60.230588999999995 -3.082762, -60.26256 -3.082605, -60.290170999999994 -3.098733, -60.294033 -3.084183, -60.312287 -3.079725, -60.328894 -3.100956, -60.366785 -3.093271, -60.382729999999995 -3.098082, -60.430788 -3.095213, -60.454198999999996 -3.07788, -60.469621999999994 -3.090267, -60.50534 -3.092151, -60.519144999999995 -3.08132, -60.500538 -3.073401, -60.505094 -3.062114, -60.544565999999996 -3.035035, -60.568563 -3.033138, -60.587647 -3.017182, -60.600013 -2.982446, -60.634038 -2.945481, -60.652538 -2.935902, -60.664615 -2.914172, -60.701485 -2.879318, -60.705591999999996 -2.861886, -60.756432 -2.821788, -60.802727 -2.539226, -60.791815 -2.484483, -60.773702 -2.453575, -60.74946 -2.447696, -60.743842 -2.430435, -60.768927 -2.399485, -60.735706 -2.38517, -60.733402 -2.368153, -60.708538999999995 -2.370869, -60.717451999999994 -2.356769, -60.69531 -2.346177, -60.711369999999995 -2.320078, -60.699479999999994 -2.307765, -60.704484 -2.283625, -60.718512 -2.27482, -60.692059 -2.242666, -60.700762 -2.220989, -60.716564999999996 -2.2208, -60.738951 -2.189353, -60.729067 -2.17623, -60.700168999999995 -2.173151, -60.663979999999995 -2.130685, -60.682032 -2.108097, -60.668172999999996 -2.074606, -60.653034 -2.073923, -60.642651 -2.056261, -60.622203999999996 -2.046337, -60.598980999999995 -1.998834, -60.559062999999995 -2.005725, -60.54253 -2.002681, -60.503623 -2.017455, -60.480087 -2.016254, -60.416641 -1.996832, -60.412644 -1.988553, -60.357755999999995 -1.954464, -60.339754 -1.95261, -60.281118 -1.924304, -60.297427 -1.957425, -60.267056999999994 -1.986497, -60.232980999999995 -2.003195, -60.204724 -2.004048, -60.1487 -2.042097, -60.140172 -2.040331, -60.106731999999994 -2.061738, -60.091283 -2.059988, -60.083478 -2.076367, -60.060586 -2.087868, -60.050897 -2.102654, -60.014838999999995 -2.101849, -60.000488 -2.12019, -59.999178 -2.143212, -60.027865999999996 -2.242167, -60.039637 -2.26456, -60.046561 -2.328262, -60.040668999999994 -2.373409, -60.024428 -2.448335, -60.035778 -2.500363, -60.033280999999995 -2.549304, -60.01266 -2.53976, -59.996559 -2.566436, -59.982352 -2.559041, -59.941191999999994 -2.578278, -59.950055 -2.60689, -59.942420999999996 -2.622236, -59.920207 -2.610515, -59.904492 -2.65768, -59.873630999999996 -2.683865, -59.876112 -2.71571, -59.833515999999996 -2.735521, -59.832246999999995 -2.770583, -59.8154 -2.788107, -59.811156 -2.817249, -59.782813 -2.830484, -59.759654999999995 -2.822222, -59.738546 -2.857938, -59.715654 -2.881316, -59.728604999999995 -2.89879, -59.706151999999996 -2.939601, -59.662743 -2.944463, -59.637232 -2.961454, -59.579480999999994 -2.960598, -59.532151999999996 -2.95119, -59.500308 -2.971896)))",55,AM
2,410690,Curitiba,36,"MULTIPOLYGON (((-49.229496 -25.349840999999998, -49.207508999999995 -25.365934, -49.193484999999995 -25.390349, -49.203345 -25.435623, -49.184670999999994 -25.471881999999997, -49.201597 -25.513396, -49.225961999999996 -25.538452, -49.224540999999995 -25.561822, -49.237277999999996 -25.56355, -49.242059 -25.585303, -49.273872 -25.611895, -49.309629 -25.619467999999998, -49.359916 -25.643165, -49.357143 -25.607405, -49.342839999999995 -25.580361, -49.345845999999995 -25.541287, -49.338083999999995 -25.51547, -49.353466 -25.520227, -49.374463 -25.513424, -49.372079 -25.497, -49.383416 -25.485841999999998, -49.388849 -25.441723999999997, -49.383483999999996 -25.418879, -49.373628 -25.397264999999997, -49.34785 -25.375947999999998, -49.340246 -25.34946, -49.310382999999995 -25.383591, -49.299676999999996 -25.385257, -49.273423 -25.345067, -49.229496 -25.349840999999998)))",46,PR
3,431490,Porto Alegre,73,"MULTIPOLYGON (((-51.272456999999996 -30.038631, -51.273748999999995 -30.035807, -51.267616999999994 -30.030124999999998, -51.261621999999996 -30.009909, -51.284465 -29.971455, -51.305063 -29.949478, -51.267112999999995 -29.934998999999998, -51.233914 -29.938429, -51.220628 -29.96649, -51.201288999999996 -29.971774, -51.155788 -29.964616, -51.126431 -29.954234999999997, -51.08651 -29.970775999999997, -51.084880999999996 -30.046139, -51.114038 -30.051828999999998, -51.120388 -30.066907999999998, -51.109085 -30.078242999999997, -51.111523999999996 -30.104362, -51.096312999999995 -30.114859, -51.098638 -30.128678999999998, -51.085572 -30.143114999999998, -51.078424999999996 -30.178295, -51.053746 -30.189003, -51.042213999999994 -30.184289, -51.011415 -30.196263, -51.041399999999996 -30.218761999999998, -51.058414 -30.243575, -51.053798 -30.259883, -51.062895 -30.259603, -51.069697999999995 -30.247194999999998, -51.094733 -30.241062999999997, -51.104599 -30.252288, -51.127835999999995 -30.247639, -51.137015 -30.266633, -51.15969 -30.261822, -51.156861 -30.239641, -51.192837999999995 -30.23484, -51.178024 -30.218269, -51.194322 -30.213563999999998, -51.204279 -30.191125999999997, -51.248864999999995 -30.185533, -51.232777 -30.18271, -51.228023 -30.140079999999998, -51.261216 -30.12279, -51.266866 -30.104568999999998, -51.250329 -30.091732, -51.234480999999995 -30.058348, -51.235392999999995 -30.044589, -51.260051999999995 -30.033616, -51.272456999999996 -30.038631)))",44,RS
4,355030,São Paulo,37,"MULTIPOLYGON (((-46.611947 -23.967762999999998, -46.635708 -23.977318999999998, -46.629538 -23.991241, -46.649907999999996 -24.001600999999997, -46.661792 -23.988222, -46.683349 -23.982384, -46.714799 -23.996164999999998, -46.743319 -23.991892, -46.762732 -24.006006, -46.774736999999995 -24.002989, -46.754929 -23.975422, -46.785635 -23.942327, -46.806898 -23.938153, -46.810683999999995 -23.920464, -46.804075999999995 -23.892702999999997, -46.776553 -23.892619999999997, -46.779886999999995 -23.842174999999997, -46.764295 -23.842568999999997, -46.762574 -23.827865, -46.782407 -23.813246, -46.801145999999996 -23.809760999999998, -46.777421 -23.767174999999998, -46.769935 -23.752912, -46.787344 -23.746954, -46.798542999999995 -23.729091999999998, -46.791489 -23.701750999999998, -46.801536 -23.685368999999998, -46.792713 -23.647191, -46.749202 -23.604443, -46.760684999999995 -23.594915999999998, -46.807775 -23.609067, -46.806408 -23.583973, -46.773058 -23.570092, -46.760234 -23.555014, -46.76003 -23.529204, -46.747045 -23.520377, -46.763825999999995 -23.505601, -46.774823999999995 -23.464436, -46.799527999999995 -23.471383, -46.800691 -23.470356, -46.809469 -23.442276, -46.82331 -23.422373999999998, -46.822973 -23.401034, -46.771072 -23.397508, -46.770213999999996 -23.388711, -46.735457 -23.388118, -46.686588 -23.426962, -46.669751 -23.418592999999998, -46.657105 -23.430498999999998, -46.621843999999996 -23.422712999999998, -46.600229 -23.388163, -46.56852 -23.375736, -46.551804999999995 -23.357677, -46.535438 -23.363305, -46.545646 -23.387013, -46.566635999999995 -23.415426, -46.570485999999995 -23.458771, -46.561703 -23.472780999999998, -46.55547 -23.510097, -46.511097 -23.478792, -46.479999 -23.476913999999997, -46.460471999999996 -23.483031, -46.412141 -23.470464, -46.401069 -23.486803, -46.386652999999995 -23.474676, -46.381938999999996 -23.472089, -46.366395999999995 -23.512155999999997, -46.395572 -23.530896, -46.388912 -23.561045999999997, -46.379869 -23.562473999999998, -46.383119 -23.599511999999997, -46.394784 -23.612517999999998, -46.421087 -23.643656, -46.472339 -23.638818, -46.477211 -23.626151999999998, -46.485451999999995 -23.622978, -46.506231 -23.625781, -46.548043 -23.606092, -46.557997 -23.611824, -46.579 -23.599524, -46.583385 -23.641036, -46.616344999999995 -23.657974, -46.626421 -23.659634999999998, -46.633857 -23.688018, -46.616357 -23.710513, -46.651291 -23.731012, -46.645497999999996 -23.757222, -46.622844 -23.786234999999998, -46.624356 -23.818766, -46.633807999999995 -23.829521999999997, -46.632557 -23.851129, -46.616938 -23.862004, -46.618024999999996 -23.885233, -46.607130999999995 -23.938657, -46.611947 -23.967762999999998)))",43,SP
5,250400,Campina Grande,3,"MULTIPOLYGON (((-35.834723 -7.195564999999999, -35.81438 -7.20705, -35.84164 -7.250215, -35.811579 -7.25786, -35.763804 -7.281439, -35.752523 -7.272603999999999, -35.731507 -7.277549, -35.704322999999995 -7.260091999999999, -35.735382 -7.323869999999999, -35.774774 -7.323993, -35.798601 -7.318537999999999, -35.838440999999996 -7.331156, -35.841193 -7.304385, -35.876117 -7.299614, -35.888034999999995 -7.286808, -35.948333 -7.280221999999999, -35.961287999999996 -7.298048, -35.982634 -7.296493, -35.977377 -7.330193, -35.990567999999996 -7.357217, -35.981594 -7.370566999999999, -36.002007 -7.383813, -36.013636999999996 -7.386629999999999, -36.038453 -7.366338, -36.123861999999995 -7.361913, -36.115639 -7.261131, -36.091536999999995 -7.202839, -36.094829 -7.154221, -36.065083 -7.165877999999999, -36.025352 -7.166373999999999, -35.984756 -7.162592999999999, -35.963408 -7.194951, -35.940216 -7.192781999999999, -35.938914 -7.175275, -35.907269 -7.179697, -35.884477 -7.171276, -35.857987 -7.206489, -35.834723 -7.195564999999999)))",42,PB
6,261160,Recife,13,"MULTIPOLYGON (((-35.016695 -8.055807999999999, -34.994783999999996 -8.046071, -34.996138 -8.036854, -34.965544 -8.019809, -34.962074 -7.974092, -35.003719 -7.959552, -35.000113999999996 -7.9292, -34.98776 -7.940452, -34.967757999999996 -7.941790999999999, -34.948412 -7.929538, -34.916162 -7.934828, -34.909248999999996 -7.944014999999999, -34.913871 -7.979362, -34.916920999999995 -7.988046, -34.872896 -8.017306999999999, -34.875549 -8.031721, -34.860549 -8.044457, -34.881865 -8.098445, -34.908799 -8.155148, -34.913593999999996 -8.14512, -34.953548999999995 -8.13863, -34.960733999999995 -8.126327, -34.961679 -8.093805999999999, -34.992993999999996 -8.066415, -35.016695 -8.055807999999999)))",41,PE
7,500270,Campo Grande,11,"MULTIPOLYGON (((-54.816299 -20.740769, -54.826848999999996 -20.740764, -54.842489 -20.687742, -54.807126 -20.657985999999998, -54.796811999999996 -20.662374, -54.784836 -20.63062, -54.767385999999995 -20.614753999999998, -54.78125 -20.598385999999998, -54.790623999999994 -20.572799, -54.797988999999994 -20.509721, -54.762761999999995 -20.481422, -54.762744999999995 -20.326176999999998, -54.777777 -20.313834, -54.820712 -20.298831, -54.820462 -20.282694, -54.844071 -20.281577, -54.879535 -20.26581, -54.889469 -20.267616999999998, -54.903150999999994 -20.24889, -54.918065 -20.243783, -54.922475999999996 -20.228579999999997, -54.912651 -20.206578999999998, -54.887328999999994 -20.208406999999998, -54.862133 -20.199517, -54.857937 -20.171727, -54.820361 -20.166705, -54.811985 -20.174969, -54.781546 -20.172669, -54.77005 -20.191354, -54.723495 -20.196248, -54.660936 -20.225645999999998, -54.648543 -20.249302, -54.616439 -20.258194, -54.607305 -20.251193999999998, -54.539451 -20.273208, -54.517351 -20.285055, -54.514181 -20.30483, -54.49821 -20.332912, -54.489228 -20.391361999999997, -54.449090999999996 -20.396081, -54.415305 -20.423679999999997, -54.394192 -20.424657, -54.375195 -20.437896, -54.364664 -20.460442999999998, -54.335663999999994 -20.478317999999998, -54.302237999999996 -20.480501999999998, -54.294070999999995 -20.494009, -54.259147 -20.495926, -54.221726 -20.479478, -54.203331 -20.479578, -54.185781999999996 -20.465180999999998, -54.182793999999994 -20.490152, -54.194675 -20.532217, -54.192583 -20.558556, -54.177982 -20.602565, -54.206030999999996 -20.672522999999998, -54.202385 -20.711033999999998, -54.175298 -20.72535, -54.172785999999995 -20.750557999999998, -54.158187999999996 -20.771639999999998, -54.128249 -20.788428, -54.111397 -20.785235999999998, -54.092096999999995 -20.798030999999998, -54.064251 -20.836588, -54.023018 -20.854908, -54.016878 -20.881425999999998, -54.006031 -20.89173, -54.005472 -20.922822999999998, -53.986053999999996 -20.933918, -53.968951 -20.956440999999998, -53.916027 -20.958074999999997, -53.886505 -20.979658, -53.867653999999995 -20.980718, -53.843878999999994 -21.017060999999998, -53.848014 -21.043986999999998, -53.82819 -21.050759, -53.809663 -21.070705, -53.779416 -21.071666999999998, -53.761146999999994 -21.07922, -53.752451 -21.103129, -53.738875 -21.117438999999997, -53.726276999999996 -21.146069, -53.706086 -21.156322, -53.687352999999995 -21.176171, -53.679735 -21.236290999999998, -53.660351999999996 -21.278188, -53.647873999999995 -21.289205, -53.638369999999995 -21.315882, -53.637513999999996 -21.340374, -53.617098 -21.363518, -53.621232 -21.382225, -53.617334 -21.417377, -53.636160999999994 -21.446526, -53.637876999999996 -21.468038, -53.613071999999995 -21.478574, -53.606697999999994 -21.501656, -53.613336999999994 -21.521164, -53.601403999999995 -21.552585999999998, -53.620349 -21.573645, -53.642236999999994 -21.577844, -53.645385 -21.560964, -53.668571 -21.552802, -53.69621 -21.557264, -53.701829 -21.567538, -53.741434999999996 -21.584094999999998, -53.739984 -21.568569, -53.784071 -21.569274, -53.81313 -21.558885, -53.818484 -21.547841, -53.836566 -21.552543, -53.847966 -21.566927, -53.87593 -21.564076999999997, -53.88632 -21.55482, -53.926409 -21.542215, -53.980304 -21.53753, -53.997839 -21.511746, -54.035624 -21.48632, -54.040033 -21.473619, -54.083197999999996 -21.443611999999998, -54.10118 -21.438889, -54.110856 -21.414687, -54.141853999999995 -21.386267, -54.172466 -21.348872, -54.194713 -21.3403, -54.208957 -21.313952, -54.200889999999994 -21.299436, -54.221267999999995 -21.29814, -54.238792999999994 -21.271881, -54.222859 -21.261516, -54.254078 -21.253546, -54.266051999999995 -21.235007, -54.260348 -21.204762, -54.274331 -21.1965, -54.279489999999996 -21.175136, -54.306425 -21.165613999999998, -54.291843 -21.140560999999998, -54.317163 -21.131503, -54.340923999999994 -21.108138, -54.376554 -21.105999, -54.391576 -21.082075, -54.389362 -21.070873, -54.40998 -21.050686, -54.408241999999994 -21.042161, -54.430659 -21.03361, -54.428965 -21.022931, -54.452676999999994 -21.0229, -54.463226 -21.008979, -54.49158 -21.004136, -54.506831 -20.99413, -54.516636 -20.979447, -54.566109999999995 -20.950108999999998, -54.601749 -20.905094, -54.621553 -20.910247, -54.644197 -20.894088999999997, -54.683865999999995 -20.887973, -54.686733999999994 -20.860191999999998, -54.708859999999994 -20.82839, -54.695428 -20.816634999999998, -54.707921 -20.793498, -54.697778 -20.768843999999998, -54.717135999999996 -20.74081, -54.721807 -20.714824999999998, -54.752722999999996 -20.691629, -54.771735 -20.695612, -54.794571 -20.725188, -54.816299 -20.740769)))",40,MS
8,330455,Rio de Janeiro,1820,"MULTIPOLYGON (((-43.272831 -22.809829, -43.26689 -22.823484, -43.245013 -22.840625, -43.236529999999995 -22.862028, -43.22567 -22.874143, -43.201386 -22.871461, -43.21606 -22.886678999999997, -43.210844 -22.897606, -43.196166 -22.892125999999998, -43.169242 -22.90456, -43.167197 -22.963893, -43.192515 -22.989328999999998, -43.217613 -22.987012, -43.245650999999995 -23.001040999999997, -43.274727 -23.002277, -43.285501 -23.014996, -43.335941999999996 -23.011363, -43.419802 -23.017644999999998, -43.492801 -23.035318, -43.507974999999995 -23.047314999999998, -43.532187 -23.049706999999998, -43.563015 -23.075643, -43.562373 -23.053155999999998, -43.58538 -23.035193, -43.627781999999996 -23.006598, -43.647676999999995 -23.000949, -43.674279 -22.980309, -43.7001 -22.986119, -43.706565999999995 -22.974928, -43.745253 -22.9465, -43.796026 -22.917075, -43.795102 -22.903806, -43.750715 -22.887756, -43.710761999999995 -22.866792, -43.67348 -22.864046, -43.644131 -22.855732999999997, -43.623979999999996 -22.862735999999998, -43.596334999999996 -22.857765999999998, -43.588466 -22.838693, -43.559387 -22.828885, -43.490061999999995 -22.815514999999998, -43.469218 -22.840411, -43.458130999999995 -22.849037, -43.431213 -22.839268999999998, -43.415389 -22.821590999999998, -43.390556 -22.81382, -43.365474999999996 -22.804066, -43.330914 -22.802666, -43.304128999999996 -22.800818, -43.272831 -22.809829)), ((-43.667797 -23.053058999999998, -43.666638 -23.042572999999997, -43.614008 -23.030981999999998, -43.603981 -23.038707, -43.566457 -23.054847, -43.61184 -23.050261, -43.667797 -23.053058999999998)), ((-43.602278 -23.039044, -43.602297 -23.028883, -43.580846 -23.040371999999998, -43.602278 -23.039044)), ((-43.236239 -22.861134, -43.242338 -22.836956999999998, -43.215665 -22.870531, -43.236239 -22.861134)), ((-43.189234 -22.783130999999997, -43.157469999999996 -22.778582999999998, -43.178399999999996 -22.802654999999998, -43.174548 -22.820159999999998, -43.185067 -22.833081, -43.190933 -22.820446, -43.227931 -22.821382, -43.239202 -22.833807999999998, -43.265867 -22.811605, -43.256436 -22.797214999999998, -43.2207 -22.784578, -43.188645 -22.794836999999998, -43.189234 -22.783130999999997)), ((-43.112818999999995 -22.754365, -43.102478999999995 -22.765090999999998, -43.108179 -22.769963999999998, -43.112818999999995 -22.754365)))",38,RJ
9,350950,Campinas,1,"MULTIPOLYGON (((-47.048562 -23.051382, -47.070169 -23.047636, -47.088319 -23.055536999999998, -47.108610999999996 -23.061192, -47.138041 -23.053622, -47.169415 -23.031, -47.204488999999995 -23.031785, -47.233134 -23.007244, -47.204206 -23.000154, -47.205275 -22.973309, -47.225908 -22.954283999999998, -47.209897 -22.951686, -47.203041999999996 -22.926980999999998, -47.236996 -22.921093, -47.246767 -22.909478, -47.22351 -22.905735999999997, -47.215664 -22.91327, -47.178591 -22.911737, -47.157376 -22.888199, -47.157708 -22.860892999999997, -47.154005 -22.830312, -47.163681999999994 -22.805526999999998, -47.128291999999995 -22.807610999999998, -47.108838 -22.817016, -47.110091 -22.801226, -47.095428 -22.780236, -47.108292999999996 -22.754372, -47.101287 -22.750415, -47.069038 -22.72957, -47.049772 -22.740002, -47.03113 -22.731894999999998, -46.966466999999994 -22.74534, -46.957425 -22.729225, -46.904928 -22.762843999999998, -46.890802 -22.817071, -46.867965999999996 -22.817436999999998, -46.858385 -22.836177, -46.850674999999995 -22.876649, -46.82414 -22.874983, -46.816880999999995 -22.897785, -46.828983 -22.906425, -46.864422999999995 -22.898706999999998, -46.889157 -22.909384, -46.878454 -22.927069, -46.878488999999995 -22.92746, -46.895286999999996 -22.934656999999998, -46.912334 -22.924070999999998, -46.939682 -22.927937, -46.950795 -22.909746, -46.98041 -22.903351, -46.991617 -22.928199, -47.008362999999996 -22.937744, -47.028932 -22.969559, -47.064357 -22.992009, -47.074616 -23.012867, -47.048562 -23.051382)))",36,SP
